trial,M1,M2,HungarianD,HungarianPD,M3,M4,M4*
196,13.798463111088164,1.5339116359734102,12.426082232376093,15.113404489413856,14.209506032377812,3.596994986877508,3.603407659948421
197,1.1327357208284639,2.0895043363195045,7.155549605891284,9.136502177978793,7.646928999883246,2.0895043363195045,2.3071343607353416
198,117.36054209674154,1.303297222041191,17.524297189056345,2.7215092360906006,1.7215092360906006,3.3599058247412157,3.3599058247412157
199,1.0,4.788659313621596,3.203103697129143,4.2031036971291424,3.203103697129143,3.9027048569071083,1.9751509269363048
200,19.411785535863554,1.1356322973699802,5.657499424174236,3.347681304527353,2.347681304527353,1.1356322973699802,1.1356322973699802
201,24.421327407221792,2.3852276342617666,2.8879701503080684,3.887970150308069,2.8879701503080684,2.1902507511174654,2.1902507511174654
202,37.61809922092162,6.392659420212603,8.01217604060495,16.901866675755997,15.901866675755999,6.941562852251905,6.82059273900195
203,30.381324953516287,1.844885888926392,5.430043614703347,7.981321627557389,8.187703447440736,1.844885888926392,2.2370587502038988
204,37.49403098663208,9.738692935333763,3.9036155523697373,11.603012831435091,10.268383207219866,5.479702332890723,4.387606489050116
205,11.206081770407298,2.0762995078166537,6.49045795428779,4.443982588349747,3.022792311006802,2.0762995078166537,2.1882288941224335
206,22.187457626165457,3.108567506000203,9.793024266452585,11.83549498780254,10.83549498780254,4.859524252098827,4.959328754749775
207,4.34728777174815,2.221688746475605,6.611644983719209,3.392854367574234,2.3928543675742335,2.5847777772757254,2.5847777772757254
208,24.68478181645571,2.273199832529304,10.66784411019554,14.572168777997724,13.824807765102202,2.273199832529304,2.194426980596873
209,90.70563406451514,1.0,1.0,2.0,1.0,1.0,1.0
210,8.630051391348626,1.148210776103482,2.2014437698655516,3.4087804380185287,1.406815733057118,1.6453328607972038,1.6453328607972038
211,83.95780257403732,2.40322713238042,2.1696355746329434,3.1696355746329434,2.1696355746329434,2.40322713238042,2.40322713238042
212,15.481040494445962,1.261957665178831,8.622526876611271,5.051732792052702,3.8303588939517157,1.261957665178831,1.2969764393976422
213,14.826741823741283,1.6603046152453944,8.778320497857477,17.648164373717922,16.519589077641555,4.482434515441693,4.482434515441693
214,20.083600918984367,1.6205999754394662,8.551201076312537,9.93767254891037,8.93767254891037,1.6205999754394662,1.6205999754394662
215,12.808070208657172,1.8757146771036879,10.858269601494012,6.97223085655129,7.266607066899802,3.192450430585622,3.39853589384605
